Harga;tanggal
58234;19/08/2015
58345;20/08/2015
58174;21/08/2015
58430;22/08/2015
58479;23/08/2015
59066;24/08/2015
58918;25/08/2015
59379;26/08/2015
59850;27/08/2015
60229;28/08/2015
60467;29/08/2015
60909;30/08/2015
60832;31/08/2015
60642;01/09/2015
61012;02/09/2015
60815;03/09/2015
60350;04/09/2015
60122;05/09/2015
59468;06/09/2015
57891;07/09/2015
56199;08/09/2015
54203;09/09/2015
51450;10/09/2015
50800;11/09/2015
48645;12/09/2015
47225;13/09/2015
42432;14/09/2015
40335;15/09/2015
39007;16/09/2015
37840;17/09/2015
37136;18/09/2015
35802;19/09/2015
35273;20/09/2015
31897;21/09/2015
30545;22/09/2015
30715;23/09/2015
30368;24/09/2015
29855;25/09/2015
29189;26/09/2015
28202;27/09/2015
25443;28/09/2015
23253;29/09/2015
22766;30/09/2015
22045;01/10/2015
19916;02/10/2015
19550;03/10/2015
19240;04/10/2015
17858;05/10/2015
17092;06/10/2015
16733;07/10/2015
16503;08/10/2015
16073;09/10/2015
15850;10/10/2015
15750;11/10/2015
14767;12/10/2015
14662;13/10/2015
14424;14/10/2015
14023;15/10/2015
14000;16/10/2015
13715;17/10/2015
13680;18/10/2015
12889;19/10/2015
12704;20/10/2015
12715;21/10/2015
12565;22/10/2015
12577;23/10/2015
12473;24/10/2015
12451;25/10/2015
12027;26/10/2015
11927;27/10/2015
11881;28/10/2015
12062;29/10/2015
12027;30/10/2015
12089;31/10/2015
11930;01/11/2015
11851;02/11/2015
11782;03/11/2015
11818;04/11/2015
12003;05/11/2015
12125;06/11/2015
12197;07/11/2015
12222;08/11/2015
12325;09/11/2015
12519;10/11/2015
12400;11/11/2015
12502;12/11/2015
12604;13/11/2015
12587;14/11/2015
12585;15/11/2015
12368;16/11/2015
12526;17/11/2015
12687;18/11/2015
12672;19/11/2015
12824;20/11/2015
13190;21/11/2015
13379;22/11/2015
14339;23/11/2015
14992;24/11/2015
15621;25/11/2015
15782;26/11/2015
15834;27/11/2015
16152;28/11/2015
16403;29/11/2015
17510;30/11/2015
